产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,票证类型,出票OFFICE,备注,产品有限期,结算方式,,,,,,,,,,,,,,,
SC旅行优享,所有航线,所有舱位,50,10+12+22,*/SWX50,GP/BSP,KMG319/KMG279,指定航班航段，基本异地航线（见附件）,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC旅行优享,所有航线,所有舱位,100,25+25+,*/SWX,GP/BSP,KMG319/KMG279,无,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC免改优享（机+“改期”）,所有航线,所有舱位,150,37+37+,*/SWX1,GP/BSP,KMG319/KMG279,1、起飞前4H免费改期1次,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC免改优享（机+“改期”）,所有航线,所有舱位,200,50+50+,*/SWX2,GP/BSP,KMG319/KMG279,改期权益随票自动交付,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC免改优享（机+“改期”）,所有航线,所有舱位,300,75+75+,*/SWX3,GP/BSP,KMG319/KMG279,改期权益随票自动交付,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC免改优享（机+“改期”）,所有航线,所有舱位,500,125+125+,*7SWX5,GP/BSP,KMG319/KMG279,改期权益随票自动交付,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC退票优享,所有航线,所有舱位,400,100+100+,*/SWXTP4,GP/BSP,KMG319/KMG279,"1、航班起飞 48 小时（含）之前，自
愿退票仅收取 160 元固定手续费。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC退票优享,所有航线,所有舱位,600,150+150+,*/SWXTP6,GP/BSP,KMG319/KMG279,"1、航班起飞 24 小时（含）之前，自
愿退票仅收取 180 元固定手续费。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC退票优享,所有航线,所有舱位,800,200+200+,*/SWXTP8,GP/BSP,KMG319/KMG279,"1、航班起 12 小时（含）之前，自愿
退票仅收取 220 元固定手续费。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC畅达优享,所有航线,所有舱位,130,32+32+,*SWXJS1,GP/BSP,KMG319/KMG279,"1、起飞前 48 小时免费改期 1 次
2、20 元用车优惠券*1 张
3、30 元用车优惠券*1 张",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC畅达优享,所有航线,所有舱位,240,60+60+,*SWXJS2,GP/BSP,KMG319/KMG279,"1、起飞前 48 小时免费改期 1 次
2、100 元用车优惠券*1 张",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC畅达优享,所有航线,所有舱位,450,112+112,*SWXJS4,GP/BSP,KMG319/KMG279,"1、起飞前 48 小时免费改期 1 次
2、200 元用车优惠券*1 张",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC升舱优享,所有航线,所有舱位,700,175+175+,*/SWXTC7,GP/BSP,KMG319/KMG279,1、赠送 698 元国内通用升舱券 1 张,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC贵宾室优享,所有航线,所有舱位,200,50+50+,*/SWXGB2,GP/BSP,KMG319/KMG279,"1、赠青岛机场山航自营贵宾会员休息
室券 1 张。
2、起飞前 48H 免费改期 1 次",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC贵宾室优享,所有航线,所有舱位,300,75+75+,*/SWXGB3,GP/BSP,KMG319/KMG279,"1、赠烟台机场山航自营贵宾会员休息
室券 1 张。
2、起飞前 48H 免费改期 1 次。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC里程加享(机+“里程”),所有航线,所有舱位,100,25+25+,*/LCJX1,GP/BSP,KMG319/KMG279,1、起飞前4H免费改期1次2、300额外非定级里程,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC里程加享(机+“里程”),所有航线,所有舱位,150,37+37,*/LCJX15,GP/BSP,KMG319/KMG279,1、起飞前4H免费改期1次2、500额外非定级里程,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC里程加享(机+“里程”),所有航线,所有舱位,200,50+50+,*/LCJX2,GP/BSP,KMG319/KMG279,1、起飞前4H免费改期1次2、800额外非定级里程,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC里程加享(机+“里程”),所有航线,所有舱位,300,75+75+,*/LCJX3,GP/BSP,KMG319/KMG279,1、起飞前4H免费改期1次2、1200额外非定级里程,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC里程加享(机+“里程”),所有航线,所有舱位,500,125+125+,*/LCJX5,GP/BSP,KMG319/KMG279,1、起飞前4H免费改期1次2、2000额外非定级里程,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC里程加享(100航信商旅优选）),所有航线,所有舱位,100,25+25+,*/HXLCJX1,GP/BSP,KMG319/KMG279,"1、起飞前 4H 免费改期 1 次
2、300 额外非定级里程",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC全能臻享,所有航线,所有舱位,900,225+225+,*SWXQN09,GP/BSP,KMG319/KMG279,"1、起飞前 4 小时免费改期 1 次。
2、航班起 24 小时（含）之前，自愿
退票仅收取 180 元固定手续费。
3、3600 额外非定级里程。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC全能臻享,所有航线,所有舱位,1000,250+250+,*SWXQN10,GP/BSP,KMG319/KMG279,"1、起飞前 4 小时免费改期 1 次。
2、航班起 12 小时（含）之前，自愿
退票仅收取 220 元固定手续费。
3、4000 额外非定级里程。",销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC好礼优享,所有航线,所有舱位,300,75+75+,*/SWXHL3,GP/BSP,KMG319/KMG279,1、赠山航特色机长熊一个。,销售日期：2026 年 4 月 4 日-2026 年 12 月 31 日,前返+后返,,,,,,,,,,,,,,,
SC免费接送机,济南、青岛、烟台,C/D/W/Y/B/M/U/H,无,无,(GP),GP/BSP,KMG319,需要注册，预约免费接送机,有效,,,,,,,,,,,,,,,,
SC   B舱高,全国航线,"B舱（休息室、免费改、额外行李、鲁雁值累计1鲁雁值=1元、快速安检等选一）
M舱（快速安检、累积积分、5KG选一）     ",无,"首次推60元/人
已注册且使用30元/人",,GP/BSP,KMG319,已结算回为准,有效,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
