产品名称,航线,订座舱位,上浮价格/直减,政策返点,产品代码,出票OFFICE,备注,产品有限期,航司结算方式
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE  直减,Y/H/K/L/M/X,0%,,,KMG319/KMG279/CTU152/SZX146,,有效,
往返无忧PWF3A,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE  直减,V/N,5%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE,A/U/T,8%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE,Y/H/K/L/M/X,0%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
往返无忧,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,V/N,3%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,A/U/T,6%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,Y/H/K/L/M/X,0%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
往返无忧PWF3A,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,V/N,3%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,A/U/T,6%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,Y/H/K/L/M/X,0%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
青老年特惠,指定航线,H/K/L/M/X/V/N/A/U/T,2%,,PCU3,KMG319/KMG279,指定航线、价格浮动,有效,
,,,2%,,PCX3,KMG319/KMG279,,,
G 舱往返自由行产品,"JD 国内自营航线（首都航空为市场方
的代码共享航班除外）",G 舱,,0,PZY3,KMG319/KMG279,团队申请需上浮50,有效,
特殊贡献旅客,"首都航空国内自营航线（包机及首航为市场方的代码共
享航班、联运航班除外）","公务舱：首都航空公务舱（C/D/Z/I 舱）、经济舱：首都航空公布运价及私有运价舱位
（W/R/Y/Q/E/H/K/L/M/X/V/N/A/U/T 舱）",优惠 15%（即：开放舱位对应票价×0.85）,,"消防人员：PSE1、全国抗击新冠肺炎疫情先进个人：PSC1、现役军人：PSD1、离退休及退役军人、军人烈士遗属、因公牺牲遗属、病
故遗属：PSY1",KMG319/KMG279,"各销售单位见舱销售，不得 K 位；特殊舱位 J/O/G/
不适用该产品政策（J/O 舱为免票舱位、G 舱为团队舱位）、特殊贡献旅客有效证件
1.共和国勋章获得者、中国国家荣誉功勋获得者、两院
院士、全国脱贫攻坚楷模、国家科学技术奖获得者（国家最
高科学技术奖、国家自然科学奖、国家技术发明奖、国家科
学技术进步奖和中华人民共和国国际科学技术合作奖）获奖
证书等。
2.消防人员及退休消防人员有效证件：《国家综合性消
防救援队伍干部证》《国家综合性消防救援队伍消防员证》
《国家综合性消防救援队伍学员证》《国家综合性消防救援
队伍退休证》《政府专职消防员证》《政府专职消防文员证》
《专职消防员证》（需由该省消防救援总队政治部颁发）。
3.全国抗击新冠肺炎疫情先进个人获奖证书等。
4.现役军人有效证件：中国人民解放军《军官证》《文
职干部证》《义务兵证》《士官证》《军士证》和中国人民
武装警察部队《警官证》《文职干部证》《义务兵证》《士
官证》《警士证》及军校《学员证》。
5.退役军人、离退休军人验证方式：退役军人事务部优
抚平台进行退役、离退休军人数据接口 IT 对接，校验成功
后，由用户中心纳入管理，认证成功的旅客可购本方案优惠
客票。
6.军人烈士/因公牺牲军人/病故军人遗属验证方式：退
役军人事务部优抚平台进行遗属旅客数据接口 IT 对接，校
验成功后，由用户中心纳入管理，认证成功的旅客可购本方
案优惠客票。
7.现役消防救援人员和现役军人需凭其本人有效证件
购票；其他特殊贡献旅客凭身份证或其它证件购票，并出示
相应有效证件享受优惠。",,
优享积分,"首都航空国内自营航线（包机及首航为市场方的代码共
享航班、联运航班除外）",H/K/L/M/X/V/N/A/U/T,80,20,PYXA1,KMG319/KMG279,"额外赠送积
分400",有效,
,"首都航空国内自营航线（包机及首航为市场方的代码共
享航班、联运航班除外）",H/K/L/M/X/V/N/A/U/T,120,30,PYXB1,KMG319/KMG279,"额外赠送积
分800",,
,"首都航空国内自营航线（包机及首航为市场方的代码共
享航班、联运航班除外）",H/K/L/M/X/V/N/A/U/T,240,50,PYXC1,KMG319/KMG279,"额外赠送积
分1600",有效,
,"首都航空国内自营航线（包机及首航为市场方的代码共
享航班、联运航班除外）",H/K/L/M/X/V/N/A/U/T,360,70,PYXD1,KMG319/KMG279,"额外赠送积
分2400",,
国内热门打卡地促销,"JD国内自营指定部分航班（保底补贴、
定额补贴、普通包销的包机、首都航空为市场方的代码共享
航班除外）",H/K/L/M/X/V/N/A/U/T,"在定座舱位对应票价基础上再享受 X%折扣，
折扣率整体不低于 90%（即：开放舱位对应票价最低*90%，
如：折扣率 90%，折扣下浮=定座舱位票价×90%）",,DAQ1,KMG319/KMG279,,有效,
,"JD国内自营指定部分航班（保底补贴、
定额补贴、普通包销的包机、首都航空为市场方的代码共享
航班除外）",H/K/L/M/X/V/N/A/U/T,"在定座舱位对应票价基础上再享受 X%折扣，
折扣率整体不低于 90%（即：开放舱位对应票价最低*90%，
如：折扣率 90%，折扣下浮=定座舱位票价×91%）",,DAD1,KMG319/KMG279,,有效,
,"JD国内自营指定部分航班（保底补贴、
定额补贴、普通包销的包机、首都航空为市场方的代码共享
航班除外）",H/K/L/M/X/V/N/A/U/T,"在定座舱位对应票价基础上再享受 X%折扣，
折扣率整体不低于 90%（即：开放舱位对应票价最低*90%，
如：折扣率 90%，折扣下浮=定座舱位票价×92%）",,DAP1,KMG319/KMG279,,有效,
舒享经济舱R舱,分级溢价+高代理费经济舱前三排座位免费托运行李额20KG配餐时段提供简餐或小食,H/K/L/M/X/V/N/A/U/T,160-270,60,GRR1,KMG319/KMG279,,有效,
悦享经济舱W舱,"分级溢价+高代理费经济舱前三排座位免费托运行李额20KG
配餐时段提供简餐或小食自愿改期+退票手续费优惠
专属值机柜台+优先登机+公务舱贵宾室+优先行李提取
(可享受城市:北京大兴、西安、青岛、海口、丽江、杭州、石家庄出港航班)",H/K/L/M/X/V/N/A/U/T,300,80,PCJ1,KMG319/KMG279,,有效,
悦享经济舱W舱,"分级溢价+高代理费经济舱前三排座位免费托运行李额21KG
配餐时段提供简餐或小食自愿改期+退票手续费优惠
专属值机柜台+优先登机+公务舱贵宾室+优先行李提取
(可享受城市:北京大兴、西安、青岛、海口、丽江、杭州、石家庄出港航班)",H/K/L/M/X/V/N/A/U/T,400,150,PCA1,KMG319/KMG279,,有效,
特惠行李E舱,低价获得免费20KG托运行李额,H/K/L/M/X/V/N/A/U/T,70-120,10,PYE1/PXE1,KMG319/KMG279,,有效,
畅行无忧,低溢价+高代理费托运行李额随订座舱位,H/K/L/M/X/V/N/A/U/T,30,20,PYU1 (OTA),KMG319/KMG279,,有效,
畅行无忧,低溢价+高代理费托运行李额随订座舱位,H/K/L/M/X/V/N/A/U/T,60,40,PYR1,KMG319/KMG279,,有效,
畅行无忧,低溢价+高代理费托运行李额随订座舱位,H/K/L/M/X/V/N/A/U/T,100,70,PYQ1,KMG319/KMG279,PAT:A然后选择对应产品代码的价格,有效,
优享变更,"分级溢价+高代理费托运行李额随订座舱位
航班计划出港时间前4小时(含)以前，免费变更一次",H/K/L/M/X/V/N/A/U/T,150,40,PTGH1,KMG319/KMG279,PAT:A然后选择对应产品代码的价格,有效,
优享变更,"分级溢价+高代理费托运行李额随订座舱位
航班计划出港时间前5小时(含)以前，免费变更一次",H/K/L/M/X/V/N/A/U/T,300,100,PTHH1,KMG319/KMG279,PAT:A然后选择对应产品代码的价格,有效,
优享变更,"分级溢价+高代理费托运行李额随订座舱位
航班计划出港时间前6小时(含)以前，免费变更一次",H/K/L/M/X/V/N/A/U/T,500,200,PTNH1,KMG319/KMG279,PAT:A然后选择对应产品代码的价格,有效,
